,Year,COUNTY NAME,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
17,2003,Franklin,24,1956,1.2269938650306749
18,2003,Gadsden,265,11519,2.300546922475909
19,2003,Gilchrist,63,3642,1.729818780889621
20,2003,Glades,43,2459,1.7486783245221633
21,2003,Gulf,63,2787,2.2604951560818085
22,2003,Hamilton,50,3011,1.6605778811026237
23,2003,Hardee,307,7277,4.218771471760341
24,2003,Hendry,508,10802,4.702832808739122
25,2003,Hernando,1173,27706,4.233739984118964
26,2003,Highlands,714,17020,4.195064629847239
27,2003,Hillsborough,9750,268964,3.6250204488333013
28,2003,Holmes,75,4429,1.693384511176338
29,2003,Indian River,650,23038,2.821425470961021
30,2003,Jackson,155,9814,1.5793764010597104
31,2003,Jefferson,108,2955,3.654822335025381
32,2003,Lafayette,13,1547,0.8403361344537815
33,2003,Lake,1597,50172,3.183050306944112
34,2003,Lee,3920,97857,4.005845264007685
35,2003,Leon,1132,51085,2.215914652050504
36,2003,Levy,283,8276,3.419526341227646
37,2003,Liberty,20,1519,1.316655694535879
38,2003,Madison,146,4482,3.257474341811691
39,2003,Manatee,1879,59890,3.137418600768075
40,2003,Marion,2494,58064,4.295260402314687
41,2003,Martin,1101,25389,4.336523691362401
42,2003,Miami-Dade,12380,561147,2.2061955245238773
43,2003,Monroe,483,12979,3.7213961013945607
44,2003,Nassau,2357,14934,15.782777554573457
45,2003,Okaloosa,1150,42803,2.6867275658248255
46,2003,Okeechobee,182,9231,1.9716173762322609
47,2003,Orange,6556,244039,2.6864558533676997
48,2003,Osecola,1363,54309,2.5097129389235673
49,2003,Palm Beach,7344,257765,2.849106744515353
50,2003,Pasco,1977,79839,2.4762334197572615
51,2003,Pinellas,7390,177341,4.167113075938446
52,2003,Polk,4281,124171,3.44766491370771
53,2003,Putnam,763,17318,4.4058205335489085
54,2003,Santa Rosa,887,33001,2.6877973394745616
55,2003,Sarasota,1295,47503,2.726143611982401
56,2003,Seminole,3151,34058,9.251864466498326
57,2003,St. Johns,325,57467,0.5655419632136705
58,2003,St. Lucie,2134,96378,2.2141982610139244
59,2003,Sumter,169,8096,2.0874505928853755
60,2003,Suwannee,161,8658,1.8595518595518594
61,2003,Taylor,127,4541,2.79674080598987
62,2003,Union,44,2941,1.496089765385923
63,2003,Volusia,4272,93327,4.577453470056897
64,2003,Wakulla,148,6116,2.419882275997384
65,2003,Walton,369,9690,3.808049535603715
66,2003,Washington,138,4839,2.8518288902665843
0,2004,Alachua,1698,42897,3.9583187635498986
1,2004,Baker,237,6398,3.7042825883088466
2,2004,Bay,1623,36740,4.417528579205226
3,2004,Bradford,113,5683,1.98838641562555
4,2004,Brevard,5275,109570,4.814273980104043
5,2004,Broward,11782,407248,2.89307743684438
6,2004,Calhoun,76,2999,2.534178059353118
7,2004,Charlotte,959,24139,3.9728240606487426
8,2004,Citrus,557,21603,2.5783456001481277
9,2004,Clay,1066,44629,2.3885814156714242
10,2004,Collier,2479,60046,4.128501482196982
11,2004,Columbia,382,14743,2.5910601641456963
12,2004,Desoto,234,7963,2.938590983297752
13,2004,Dixie,58,3067,1.8910987936093904
14,2004,Duval,7298,208226,3.504845696502838
15,2004,Escambia,2383,67118,3.550463363032272
16,2004,Flagler,429,12781,3.356544871293326
17,2004,Franklin,145,1968,7.367886178861789
