,COUNTY NAME,Year,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
671,Columbia,2001,7.2320125130344115,0.7200208550573514,5.01584984358707,1.4961418143899896,7.096976016684046,3.3950990615224192,2.153493222106361,0.3709071949947863,1.1452554744525547,375,14235,2.6343519494204433
672,Miami-Dade,2001,7.859841302136317,0.716443540183113,4.102920311970159,3.0404774499830447,7.923168531705662,3.8719755849440487,2.3722807731434385,0.5703465581553069,0.900722956934554,19419,561762,3.4568019908786995
673,Dixie,2001,7.060737527114968,1.0824295010845988,4.634273318872017,1.3440347071583514,6.634707158351411,3.319305856832972,2.511930585683297,0.39739696312364425,0.3921908893709328,76,3037,2.502469542311492
674,Duval,2001,6.945941865454604,0.5789615879726014,3.6732037569728084,2.6937765205091937,6.843062155332707,3.2266818174594345,2.159210463582474,0.3419020072151677,1.0193728843189296,7387,205937,3.5870193311546736
675,Escambia,2001,7.089331733759887,0.7921221007731272,3.911290322580645,2.385919310406114,7.051297431795965,3.1390962410023997,2.2466231227228293,0.4669421487603306,1.0746689771616458,2584,68563,3.768796581246445
676,Flagler,2001,8.308590862043472,0.5243235250628421,3.325595150081325,4.458672186899304,8.235989945290552,3.2145497560254324,2.591453496968801,1.0711222830104985,1.0153777909211887,295,9727,3.0327953120180933
677,Franklin,2001,7.725543478260869,0.9918478260869564,2.171195652173913,4.5625,7.28125,3.800951086956522,2.5441576086956523,0.4021739130434783,0.4728260869565217,28,2012,1.3916500994035783
678,Gadsden,2001,7.812846214719071,1.5139804800844106,5.104457926668426,1.194407807966236,7.810472170931152,3.636771300448431,2.614613558427856,0.7188077024531786,0.8203640200474809,234,11699,2.00017095478246
679,Gilchrist,2001,6.873836992928918,0.8529959062151098,4.543356903609974,1.4774841831038332,7.7554893933755125,3.426497953107555,2.430591737997767,0.401190919240789,1.4451060662448827,56,3503,1.5986297459320582
680,Glades,2001,7.879170423805231,0.8016230838593328,3.5644724977457165,3.5130748422001803,7.713255184851217,3.8494138863841303,2.54643823264202,0.34265103697024346,0.974752028854824,40,2398,1.6680567139282736
681,Gulf,2001,7.6214664310954054,0.922703180212014,3.65856890459364,3.0401943462897525,7.53356890459364,3.6647526501766783,2.670053003533569,0.4589222614840989,0.6311837455830389,150,2777,5.401512423478573
682,Hamilton,2001,8.062126092959042,1.4624942475839853,4.170731707317073,2.4289001380579838,8.208927749654856,3.5467096180395767,2.9723884031293144,0.4601932811780948,1.213529682466636,137,3142,4.360280076384469
683,Hardee,2001,6.852739726027397,0.959307010475423,3.980459307010476,1.9129734085414989,6.767324738114424,3.4766317485898464,2.3017727639000807,0.4734085414987913,0.48388396454472204,190,7332,2.5913802509547192
684,Hendry,2001,7.01320829480914,0.9623563597939506,3.954035134064192,2.096816800950997,6.7835160480781935,3.268524633469819,2.464271562541276,0.4278166688680491,0.5536917183991547,402,10773,3.731551099972152
685,Hernando,2001,7.2767354051699105,0.5529480104559977,3.4039500435666565,3.3198373511472554,6.391983735114724,3.032878303804821,2.1610223642172524,0.3433052570432762,0.5716526285216381,690,25523,2.7034439525134197
686,Highlands,2001,7.1211390823067315,0.9099267987859312,3.5007141581860384,2.710498125334761,7.352526334583111,3.2269237636136405,2.39850026780932,0.3824317086234601,1.2245134797357615,922,16801,5.487768585203261
687,Hillsborough,2001,7.766637656638935,0.9205104953411518,4.207411554917201,2.638715606380583,8.006128621942535,3.4941604639981496,2.1955377302797743,0.7668141512132479,1.3349806160269246,9155,259085,3.5335893625644093
688,Holmes,2001,6.67335562987737,0.9746376811594204,4.7502787068004455,0.9484392419175028,6.993868450390189,3.615384615384616,2.0582497212931994,0.35590858416945376,0.9612597547380156,99,4327,2.2879593251675523
689,Jackson,2001,7.158730158730159,1.0181598062953996,4.749798224374495,1.3907721280602636,7.4948883508205535,3.2543718052192627,2.4300511164917946,0.6747376916868443,1.0828625235404896,134,10181,1.316177192810137
