,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
410,CITRUS COUNTY SCHOOL DISTRICT,2014,9.299933642999337,1.0777040477770405,3.329462508294625,4.8927670869276705,9.663702720637028,5.062840079628401,3.2627737226277373,0.7015262110152621,0.5760451227604513
411,CLAY COUNTY SCHOOL DISTRICT,2014,8.43560510092053,0.6927905863806548,5.210539650367368,2.532274864172508,8.42752582833657,5.117698392590716,2.4800551755200857,0.42718801902992426,0.3260704332404358
412,COLLIER COUNTY SCHOOL DISTRICT,2014,11.51040118870728,1.1579314692241884,1.8091314332027557,8.543338286280337,11.631523256337521,6.094241073438696,3.672002341393129,0.6607456436579765,0.7237381241838894
413,COLUMBIA COUNTY SCHOOL DISTRICT,2014,8.677518003354049,1.1535957383841373,5.375653546414126,2.148268718555786,8.378317056328303,4.682746374667062,2.9356811679984216,0.5079412054848574,0.13080793134063332
414,MIAMI-DADE COUNTY PUBLIC SCHOOL DISTRICT,2014,9.790331047376295,1.4263557839953065,3.325848531719408,5.038126731661581,10.081573015414069,5.894091788239719,2.7578382687735274,0.7258114773196195,0.30682446600960606
415,DE SOTO COUNTY SCHOOL DISTRICT,2014,9.335106382978724,1.5846808510638297,5.2751063829787235,2.4753191489361703,10.27,5.202127659574468,3.9593617021276595,0.7819148936170213,0.3140425531914894
416,DIXIE COUNTY SCHOOL DISTRICT,2014,9.084412470023981,1.4661870503597123,5.516067146282974,2.102158273381295,9.135251798561152,4.637410071942446,3.57841726618705,0.6522781774580336,0.2580335731414868
417,DUVAL COUNTY SCHOOL DISTRICT,2014,9.184460999741487,1.3060327606871753,4.445128590789093,3.433299648265219,9.453863207288508,5.390339435814278,3.0299875443585345,0.43181907201554215,0.4614619319561624
418,ESCAMBIA COUNTY SCHOOL DISTRICT,2014,9.366083478516918,1.2725688906338184,4.386425539224106,3.7070890486589945,9.484651436704047,4.7905921036488115,3.113635805952936,0.6242239835104164,0.9083012293573479
419,FLAGLER COUNTY SCHOOL DISTRICT,2014,9.599027755998119,0.8888976007527051,3.686529716167477,5.023600439077937,9.765485337933198,4.906539124980398,2.8744707542731693,1.100282264387643,0.6263917202446292
420,FRANKLIN COUNTY SCHOOL DISTRICT,2014,12.386770428015565,1.9073929961089495,2.6280155642023346,7.85136186770428,11.485603112840467,6.344747081712062,3.330739299610895,0.7891050583657587,0.43891050583657587
421,GADSDEN COUNTY SCHOOL DISTRICT,2014,9.510978043912175,2.4145043246839655,5.027278775781769,2.0691949434464405,10.274284763805722,4.54208250166334,4.357285429141717,0.8483033932135728,0.511144377910845
422,GILCHRIST COUNTY SCHOOL DISTRICT,2014,10.138142747505755,1.5226400613967768,5.767075978511128,2.8484267075978513,10.133921719109747,5.416346891788181,3.87720644666155,0.6059094397544129,0.22870299309286263
423,GLADES COUNTY SCHOOL DISTRICT,2014,10.205094709340301,1.4467668190725016,5.610711952971914,3.147615937295885,14.459830176355323,5.701502286087525,3.2279555845852386,0.4853037230568256,5.045068582625735
424,GULF COUNTY SCHOOL DISTRICT,2014,9.714975845410628,1.0155662909286098,3.0059044551798175,5.693505099302201,10.090177133655395,5.109500805152979,3.922705314009662,0.6312399355877617,0.4106280193236715
425,HAMILTON COUNTY SCHOOL DISTRICT,2014,10.844694724362775,2.4665085951393007,4.163011262596325,4.215174866627149,10.93064611736811,4.713692946058091,4.563129816241849,0.8180201541197392,0.8275044457617071
426,HARDEE COUNTY SCHOOL DISTRICT,2014,9.421359223300971,1.5699029126213593,5.1242718446601945,2.7271844660194176,9.533786407766991,5.02621359223301,3.4497087378640776,0.6584466019417475,0.3693203883495146
427,HENDRY COUNTY SCHOOL DISTRICT,2014,9.357608223541336,1.6027218763573186,5.465035471261039,2.2898508759229768,9.541334877660345,5.2855074562038515,3.1198783842478646,0.5853481974808166,0.5398870710873027
428,HERNANDO COUNTY SCHOOL DISTRICT,2014,9.097104535774163,0.9684625492772667,4.562916307943269,3.565725678553627,8.791426888395486,4.9232407449363365,2.9486157052879607,0.511214826226834,0.1254248040237437
429,HIGHLANDS COUNTY SCHOOL DISTRICT,2014,9.31139344262295,1.5363934426229509,4.384098360655738,3.3909016393442624,9.466803278688525,5.058852459016394,3.218688524590164,0.7482786885245901,0.225327868852459
430,HILLSBOROUGH COUNTY SCHOOL DISTRICT,2014,9.578482985071693,1.4501890001425488,4.8110785051047245,3.3172154798244193,9.870044583388632,5.2955136429101595,2.883984879988596,1.0460727785724468,0.40924306548891803
431,HOLMES COUNTY SCHOOL DISTRICT,2014,8.681532475306794,1.1586351391798864,6.048189164920682,1.4747081712062258,9.221490571685123,5.2205926369350495,3.346004190362167,0.4857826997904819,0.15743789284645315
432,INDIAN RIVER COUNTY SCHOOL DISTRICT,2014,9.908361018826135,1.0031007751937984,2.3623477297895903,6.542912513842746,10.241362126245846,5.1788482834994465,2.887596899224806,0.4890919158361019,1.3345514950166113
433,JACKSON COUNTY SCHOOL DISTRICT,2014,9.107914719626168,1.330607476635514,5.447575934579439,2.329731308411215,9.26839953271028,5.022780373831775,3.3878504672897196,0.5693633177570093,0.236857476635514
