Combined Mathematics (FSA Mathematics and FSA EOCs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied filters: Grade Level equal to 09-Ninth, 10-Tenth, 11-Eleventh, 12-Twelfth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2014-15,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2015-16,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2016-17,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
,,% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4),% of Students (Level 5),# of Students,# of Students (Level 3 and Above),% of Students (Level 1),% of Students (Level 2),% of Students (Level 3 and Above),% of Students (Level 4 and Above),% of Students (Level 4)
District,Grade Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-PASCO,09-Ninth,9.6%,"4,648","2,724",28.6%,12.8%,58.6%,24.1%,14.5%,10.2%,"4,977","2,829",29.2%,13.9%,56.8%,24.1%,13.9%,12.3%,"4,919","3,017",26.2%,12.5%,61.3%,29.0%,16.7%,11.9%,"4,558","2,968",22.9%,12.0%,65.1%,30.9%,19.0%
51-PASCO,10-Tenth,4.2%,"4,116","2,029",29.4%,21.3%,49.3%,13.4%,9.3%,5.7%,"4,473","2,155",29.7%,22.1%,48.2%,15.0%,9.3%,7.8%,"3,858","2,262",20.4%,20.9%,58.6%,20.0%,12.2%,3.7%,"2,538","1,365",26.9%,19.3%,53.8%,14.3%,10.6%
51-PASCO,11-Eleventh,0.7%,"2,462",547,56.0%,21.8%,22.2%,2.5%,1.8%,1.3%,"2,425",490,56.6%,23.2%,20.2%,3.5%,2.2%,1.4%,"2,717",658,51.0%,24.8%,24.2%,4.1%,2.8%,2.3%,"1,252",330,52.9%,20.8%,26.4%,6.7%,4.4%
51-PASCO,12-Twelfth,0.5%,219,25,70.8%,17.8%,11.4%,0.5%,0.0%,0.9%,211,27,65.4%,21.8%,12.8%,3.8%,2.8%,3.1%,286,61,59.1%,19.6%,21.3%,5.2%,2.1%,6.3%,397,138,51.1%,14.1%,34.8%,13.6%,7.3%
52-PINELLAS,09-Ninth,6.9%,"7,435","3,583",35.0%,16.8%,48.2%,16.3%,9.4%,7.7%,"7,139","3,334",35.7%,17.6%,46.7%,17.4%,9.7%,8.6%,"7,028","3,729",33.0%,14.0%,53.1%,20.4%,11.8%,6.3%,"6,166","3,013",37.5%,13.7%,48.9%,18.7%,12.4%
52-PINELLAS,10-Tenth,4.0%,"5,445","2,300",33.5%,24.3%,42.2%,11.0%,7.0%,3.5%,"5,363","1,897",40.6%,24.0%,35.4%,8.7%,5.2%,5.2%,"4,528","1,890",35.5%,22.8%,41.7%,12.6%,7.4%,7.0%,"2,371","1,156",32.3%,18.9%,48.8%,16.3%,9.3%
52-PINELLAS,11-Eleventh,0.6%,"2,886",445,63.1%,21.5%,15.4%,2.4%,1.8%,1.3%,"3,131",536,61.3%,21.6%,17.1%,3.2%,1.8%,2.6%,"2,418",506,57.4%,21.7%,20.9%,5.3%,2.7%,3.3%,"1,412",262,65.6%,15.9%,18.6%,6.7%,3.5%
52-PINELLAS,12-Twelfth,0.5%,596,101,64.9%,18.1%,16.9%,1.7%,1.2%,2.4%,501,89,66.7%,15.6%,17.8%,4.6%,2.2%,4.1%,589,133,62.3%,15.1%,22.6%,7.3%,3.2%,9.0%,356,105,62.4%,8.1%,29.5%,14.0%,5.1%
53-POLK,09-Ninth,3.4%,"7,037","2,931",39.8%,18.5%,41.7%,11.9%,8.4%,3.0%,"7,261","2,821",42.3%,18.9%,38.9%,9.4%,6.4%,3.5%,"6,699","2,925",38.7%,17.6%,43.7%,11.7%,8.2%,3.6%,"4,078","2,314",26.1%,17.2%,56.7%,15.7%,12.1%
53-POLK,10-Tenth,1.6%,"6,012","1,850",45.4%,23.8%,30.8%,5.6%,3.9%,1.3%,"6,349","1,576",52.1%,23.0%,24.8%,4.9%,3.6%,1.1%,"6,046","1,528",52.6%,22.2%,25.3%,4.1%,3.1%,0.7%,"4,820","1,281",51.7%,21.7%,26.6%,4.3%,3.6%
